Vector,Density,Difficulty,SMB,KI
0,14.84375,6.25,0.0,1.0
1,17.1875,0.0,0.34782608695652173,0.6521739130434783
2,16.40625,0.0,0.6190476190476191,0.38095238095238093
3,24.21875,0.0,0.9032258064516129,0.0967741935483871
4,17.96875,0.0,0.8888888888888888,0.1111111111111111
5,23.4375,0.0,0.8,0.2
6,11.71875,0.0,0.13333333333333333,0.8666666666666667
7,19.53125,6.25,0.8461538461538461,0.15384615384615385
8,18.75,6.25,0.76,0.24
9,14.84375,0.0,0.9629629629629629,0.037037037037037035
10,27.34375,6.25,0.4722222222222222,0.5277777777777778
11,17.1875,6.25,0.6086956521739131,0.391304347826087
12,21.09375,12.5,0.6129032258064516,0.3870967741935484
13,20.3125,0.0,0.4444444444444444,0.5555555555555556
14,21.875,0.0,0.7,0.3
15,15.625,12.5,0.8181818181818182,0.18181818181818182
16,20.3125,12.5,0.75,0.25
17,15.625,0.0,0.55,0.45
18,23.4375,0.0,0.3333333333333333,0.6666666666666666
19,11.71875,0.0,0.4,0.6
20,14.0625,0.0,0.16666666666666666,0.8333333333333334
21,16.40625,6.25,0.84,0.16
22,19.53125,0.0,0.72,0.28
23,14.0625,0.0,0.5,0.5
24,17.1875,0.0,0.22727272727272727,0.7727272727272727
25,17.1875,12.5,0.9166666666666666,0.08333333333333333
26,16.40625,6.25,0.7727272727272727,0.22727272727272727
27,33.59375,0.0,0.9534883720930233,0.046511627906976744
28,17.1875,0.0,0.043478260869565216,0.9565217391304348
29,23.4375,0.0,0.6666666666666666,0.3333333333333333
30,15.625,12.5,0.8636363636363636,0.13636363636363635
31,14.84375,0.0,0.7894736842105263,0.21052631578947367
32,21.09375,0.0,0.8620689655172413,0.13793103448275862
33,13.28125,0.0,0.5882352941176471,0.4117647058823529
34,18.75,0.0,0.7083333333333334,0.2916666666666667
35,18.75,6.25,0.84,0.16
36,14.0625,0.0,0.8888888888888888,0.1111111111111111
37,14.0625,0.0,0.5,0.5
38,22.65625,0.0,0.7931034482758621,0.20689655172413793
39,19.53125,0.0,0.0,1.0
40,7.03125,6.25,0.6,0.4
41,21.09375,6.25,0.5357142857142857,0.4642857142857143
42,11.71875,0.0,0.06666666666666667,0.9333333333333333
43,14.84375,0.0,0.10526315789473684,0.8947368421052632
44,14.84375,0.0,0.5263157894736842,0.47368421052631576
45,19.53125,0.0,0.7037037037037037,0.2962962962962963
46,18.75,0.0,0.625,0.375
47,17.1875,0.0,0.7727272727272727,0.22727272727272727
48,21.09375,0.0,0.6296296296296297,0.37037037037037035
49,16.40625,0.0,0.42857142857142855,0.5714285714285714
50,20.3125,0.0,0.6153846153846154,0.38461538461538464
51,20.3125,0.0,0.7692307692307693,0.23076923076923078
52,22.65625,0.0,0.6896551724137931,0.3103448275862069
53,23.4375,0.0,0.7,0.3
54,14.84375,0.0,0.5789473684210527,0.42105263157894735
55,22.65625,0.0,0.20689655172413793,0.7931034482758621
56,17.1875,0.0,0.5909090909090909,0.4090909090909091
57,18.75,6.25,0.7407407407407407,0.25925925925925924
58,15.625,0.0,0.35,0.65
59,18.75,0.0,0.3333333333333333,0.6666666666666666
60,17.96875,0.0,0.6956521739130435,0.30434782608695654
61,16.40625,0.0,1.0,0.0
62,17.1875,6.25,0.6521739130434783,0.34782608695652173
63,22.65625,12.5,0.5806451612903226,0.41935483870967744
64,27.34375,0.0,1.0,0.0
65,19.53125,12.5,0.7407407407407407,0.25925925925925924
66,19.53125,0.0,0.6,0.4
67,16.40625,0.0,0.047619047619047616,0.9523809523809523
68,14.0625,0.0,0.8888888888888888,0.1111111111111111
69,17.1875,6.25,0.9130434782608695,0.08695652173913043
70,19.53125,0.0,0.7692307692307693,0.23076923076923078
71,25.78125,0.0,0.5454545454545454,0.45454545454545453
