N,Density
0,75.0
1,75.0
2,75.0
3,75.0
4,75.0
5,75.0
6,75.0
7,75.0
8,75.0
9,75.0
10,65.625
11,72.65625
12,71.875
13,75.0
14,75.0
15,62.5
16,75.0
17,75.0
18,75.0
19,75.0
20,75.0
21,75.0
22,75.0
23,75.0
24,75.0
25,68.75
26,75.0
27,71.09375
28,67.96875
29,75.0
30,75.0
31,75.0
32,73.4375
33,75.0
34,75.0
35,75.0
36,75.0
37,75.0
38,67.96875
39,75.0
40,75.0
41,75.0
42,75.0
43,74.21875
44,75.0
45,75.0
46,69.53125
47,75.0
48,75.0
49,75.0
