Epoch,Loss,BCE,KLD
1,2263.3328579695767,2263.330160796958,0.0027042056123415628
2,1334.4842716600529,1334.4732866236773,0.010972030145466011
3,854.3857318535053,854.3604497354497,0.025283911713847407
4,628.5100472263558,628.4750692377645,0.03498190089508339
5,513.6364164806548,513.5967881944445,0.03962555574992346
6,449.6200836020172,449.5776754712302,0.04240823958916639
7,409.75780216600526,409.71303271742727,0.04476613373983474
8,380.78970320767195,380.7444713128307,0.04523425127463366
9,358.9005017154431,358.8538928158069,0.0466092276194739
10,340.24963314318785,340.20172216021825,0.04790863915095254
11,323.9244636656746,323.8761393229167,0.04832285264181712
12,307.70521375868054,307.65562996031747,0.04958493368966239
13,292.4262953662368,292.3763615038029,0.04993565246541664
14,277.2649442480986,277.21247726521165,0.05246838438447821
15,264.49740358382934,264.443611266121,0.053790607149638826
16,253.43029203869048,253.37428824611442,0.05600518776626183
17,243.08789966724538,243.0313804666832,0.05652178311474109
18,230.70303328579695,230.6420162140377,0.06101635366520554
19,219.21421595982142,219.15100678943452,0.06321056620784538
20,210.58190207506613,210.51510184151786,0.06679954982939221
21,200.2650462962963,200.1953292927414,0.06971463135310582
22,190.393794952877,190.3203060412533,0.0734902506782895
23,180.473960916832,180.39800088872354,0.07596021354513824
24,172.52911473834325,172.45024439897486,0.07887084395797164
25,163.64254324776786,163.56137876157408,0.08116375643109518
26,156.40634106832837,156.3233597366898,0.08298388296964938
27,149.1983577990658,149.11343238467262,0.08492616244724818
28,141.96155689380788,141.87528806010252,0.0862689112860059
29,135.018882791832,134.93127376818782,0.0876077104497839
30,125.99185099929728,125.9017250020668,0.0901278711500622
31,119.68968563988095,119.59884530526621,0.09084082154369859
32,112.85366030092592,112.76140162553737,0.09225865583571177
33,106.69788501880787,106.60420089802415,0.09368342381936533
34,100.76954158399471,100.67414783296131,0.09539426382256563
35,96.75068268952546,96.65391193369709,0.09677143891652425
36,91.90179798590444,91.80329564008763,0.09850236663111935
37,88.46535980386078,88.36582728794643,0.09953142410863644
38,84.16471709397734,84.06358765294313,0.10113042435318075
39,79.81983455274471,79.71751056650959,0.102324610033994
40,76.6019416284309,76.49774718915344,0.1041942765473058
41,73.34798596901868,73.24274618158896,0.10523960766968904
42,70.61022787750083,70.50410388764881,0.10612469753891073
43,66.40429332268931,66.29691052310682,0.1073842345091401
44,63.96085062985698,63.85301733269262,0.10783304171587424
45,60.47348781363674,60.364809066530256,0.1086783245127037
46,58.69513649915261,58.58584191054894,0.1092946277093635
47,56.23138879846643,56.12135791273975,0.11003069019822216
48,54.9236333937872,54.81278709129051,0.11084613535139295
49,51.58656722780258,51.474958793196095,0.11160811229988381
50,50.44638336020172,50.33426597635582,0.11211773453566132
51,48.68723422257358,48.5743324239418,0.11290130602619636
52,46.64985196552579,46.5362296937004,0.11362196276427577
53,44.58006843687996,44.465871982473544,0.11419593972503823
54,42.39092985284392,42.27624253368882,0.1146868871002601
55,41.70536037223049,41.590323957816636,0.1150361110293676
56,39.93719482421875,39.82173794539517,0.11545766913701618
57,38.93409301111938,38.818184988839285,0.11590848208735229
58,37.47070700024802,37.35433459408069,0.11637242319722654
59,36.24044945126488,36.12362622457837,0.11682317370460146
60,35.66428484235491,35.54724137240617,0.11704289850103793
61,34.238053256241734,34.120381511708416,0.11767158369538645
62,33.84862150969329,33.73034910171751,0.11827247987979303
63,32.6454835921999,32.527180182239995,0.11830393662528386
64,31.72289490069031,31.603898951616237,0.11899551323481969
65,30.98914833674355,30.87013220408606,0.1190160941825342
66,29.922424154937584,29.802826896546378,0.11959738201565212
67,29.702187512917494,29.582320924789187,0.11986644621248599
68,29.081288655598957,28.961276745670055,0.12001192948174855
69,28.225792778862846,28.105441461795223,0.12035123444108105
70,27.052821568080358,26.932285207919975,0.12053616400118228
71,25.591928310495206,25.471118583881037,0.12080989375947014
72,24.85158736617477,24.73053527509094,0.12105211946699354
73,24.232001733527614,24.110902977998926,0.12109881923312232
74,23.94985251451926,23.828483783378804,0.12136868572739697
75,23.616658851583168,23.495164820756862,0.12149416454254634
76,23.10356261238219,22.981815883091517,0.12174708502633232
77,22.546495387163112,22.42492998718585,0.12156548638823171
78,21.708997453962052,21.58705155307023,0.1219460819133375
79,21.125370247654182,21.003208866825812,0.12216125594245063
80,20.517953539651536,20.395746140252974,0.12220750788532236
81,20.20399095646288,20.081738991712136,0.12225204737728866
82,19.312094875113672,19.189609749607307,0.12248517848827221
83,18.921087194372106,18.798460783781827,0.12262646609513217
84,18.47253482556217,18.349912936094576,0.1226218339627382
85,18.55434688184627,18.431367097077548,0.12297985288831922
86,17.994542359044313,17.871634992972883,0.12290762278138015
87,17.218567621140252,17.095755683051216,0.122811651103711
88,16.64597122757523,16.523166878513557,0.12280427274249849
89,16.345379783993675,16.222717608093586,0.1226621185030256
90,15.671638852074032,15.548782752304481,0.12285602218890317
91,16.038251281415345,15.915284171937005,0.12296700225305304
92,15.482971272140583,15.360086834619915,0.1228843990457121
93,15.1464520005322,15.023251891766906,0.12320016174720078
94,14.496449061802455,14.37332427817047,0.12312479750819938
95,14.153456672789558,14.03022935655382,0.12322712764538155
96,14.03127866068845,13.908039234302661,0.12323972157069615
97,13.240010417958416,13.117034024031705,0.12297637941976072
98,12.950978597005209,12.827931399067873,0.12304711531079005
99,12.315156805452215,12.19232177734375,0.12283499972530143
100,12.502942927930722,12.380105397057912,0.12283763620588514
101,12.000192551385789,11.877577282133556,0.12261528186697178
102,11.416622908657821,11.294074164496529,0.12254879272804059
103,11.3763185531374,11.25375091714203,0.12256760004336241
