Vector,Density,Difficulty,SMB,KI
152,10.9375,0.0,0.42857142857142855,0.5714285714285714
153,8.59375,0.0,0.8636363636363636,0.13636363636363635
154,9.765625,0.0,0.56,0.44
155,10.15625,0.0,0.6923076923076923,0.3076923076923077
156,8.203125,0.390625,0.96,0.04
157,13.671875,0.0,0.9714285714285714,0.02857142857142857
158,7.8125,0.0,0.8,0.2
159,8.203125,0.0,0.8571428571428571,0.14285714285714285
160,9.765625,0.0,0.56,0.44
161,9.375,0.0,0.4166666666666667,0.5833333333333334
162,7.8125,0.78125,1.0,0.0
163,9.375,0.390625,0.2,0.8
164,8.59375,0.0,0.8636363636363636,0.13636363636363635
165,5.859375,0.0,0.4666666666666667,0.5333333333333333
166,6.640625,0.0,0.47058823529411764,0.5294117647058824
167,7.421875,0.0,0.5263157894736842,0.47368421052631576
168,10.15625,0.390625,0.2962962962962963,0.7037037037037037
169,7.8125,1.171875,0.9259259259259259,0.07407407407407407
170,7.8125,0.390625,0.38095238095238093,0.6190476190476191
171,11.328125,0.390625,0.6060606060606061,0.3939393939393939
172,9.765625,0.0,0.76,0.24
173,10.546875,0.390625,0.5714285714285714,0.42857142857142855
174,6.640625,0.390625,1.0,0.0
175,7.421875,0.0,0.5789473684210527,0.42105263157894735
176,7.03125,0.390625,1.0,0.0
177,10.15625,0.0,0.6923076923076923,0.3076923076923077
178,7.421875,1.171875,0.9565217391304348,0.043478260869565216
179,6.25,0.0,0.125,0.875
180,5.859375,0.0,0.25,0.75
181,12.890625,0.0,0.5454545454545454,0.45454545454545453
182,6.640625,0.0,1.0,0.0
183,12.109375,0.78125,0.5757575757575758,0.42424242424242425
184,11.328125,0.0,0.5862068965517241,0.41379310344827586
185,9.375,0.390625,0.5172413793103449,0.4827586206896552
186,9.375,0.0,0.12,0.88
187,7.03125,0.390625,0.9130434782608695,0.08695652173913043
188,6.640625,0.0,0.9473684210526315,0.05263157894736842
189,11.328125,0.0,0.3793103448275862,0.6206896551724138
190,8.984375,0.0,0.4583333333333333,0.5416666666666666
191,8.984375,0.0,0.6956521739130435,0.30434782608695654
192,9.765625,0.0,0.56,0.44
193,4.296875,0.0,0.18181818181818182,0.8181818181818182
194,12.890625,0.0,0.42424242424242425,0.5757575757575758
195,8.984375,0.390625,0.9166666666666666,0.08333333333333333
196,7.8125,0.0,0.8,0.2
197,7.03125,0.0,0.5555555555555556,0.4444444444444444
198,7.03125,0.0,0.8888888888888888,0.1111111111111111
199,10.9375,0.390625,0.5172413793103449,0.4827586206896552
200,10.15625,0.0,0.75,0.25
201,9.765625,0.0,0.08,0.92
202,7.03125,0.0,0.8421052631578947,0.15789473684210525
203,6.640625,0.0,0.47058823529411764,0.5294117647058824
204,15.234375,0.0,0.6153846153846154,0.38461538461538464
205,7.8125,0.0,0.75,0.25
206,6.25,0.0,0.625,0.375
207,9.375,0.390625,0.9629629629629629,0.037037037037037035
208,5.078125,0.0,0.07692307692307693,0.9230769230769231
209,10.546875,0.0,0.5555555555555556,0.4444444444444444
210,12.109375,0.0,0.5806451612903226,0.41935483870967744
211,12.109375,0.0,0.6774193548387096,0.3225806451612903
