Vector,Density,Difficulty,SMB,KI
0,22.65625,0.0,0.6206896551724138,0.3793103448275862
1,30.46875,6.25,0.425,0.575
2,16.40625,6.25,0.9130434782608695,0.08695652173913043
3,27.34375,0.0,0.7428571428571429,0.2571428571428571
4,14.0625,0.0,0.9444444444444444,0.05555555555555555
5,13.28125,0.0,0.21052631578947367,0.7894736842105263
6,17.96875,0.0,0.13043478260869565,0.8695652173913043
7,18.75,0.0,0.8461538461538461,0.15384615384615385
8,17.96875,6.25,0.2916666666666667,0.7083333333333334
9,27.34375,0.0,0.02857142857142857,0.9714285714285714
10,15.625,6.25,0.8695652173913043,0.13043478260869565
11,20.3125,0.0,0.038461538461538464,0.9615384615384616
12,16.40625,12.5,0.7391304347826086,0.2608695652173913
13,16.40625,12.5,0.782608695652174,0.21739130434782608
14,16.40625,0.0,0.9047619047619048,0.09523809523809523
15,19.53125,0.0,0.76,0.24
16,22.65625,0.0,0.4838709677419355,0.5161290322580645
17,17.1875,0.0,0.9545454545454546,0.045454545454545456
18,25.78125,0.0,0.12121212121212122,0.8787878787878788
19,21.875,0.0,0.39285714285714285,0.6071428571428571
20,33.59375,0.0,0.11627906976744186,0.8837209302325582
21,14.84375,0.0,0.7894736842105263,0.21052631578947367
22,26.5625,0.0,0.5,0.5
23,17.1875,0.0,0.7727272727272727,0.22727272727272727
24,11.71875,0.0,0.25,0.75
25,16.40625,0.0,0.8095238095238095,0.19047619047619047
26,25.78125,0.0,0.030303030303030304,0.9696969696969697
27,11.71875,0.0,0.6,0.4
28,10.9375,0.0,0.2857142857142857,0.7142857142857143
29,16.40625,0.0,0.5714285714285714,0.42857142857142855
30,14.84375,0.0,0.8947368421052632,0.10526315789473684
31,16.40625,0.0,0.42857142857142855,0.5714285714285714
32,30.46875,6.25,0.85,0.15
33,13.28125,0.0,0.7222222222222222,0.2777777777777778
34,21.09375,6.25,0.75,0.25
35,11.71875,6.25,0.0625,0.9375
36,25.78125,0.0,0.6060606060606061,0.3939393939393939
37,16.40625,6.25,0.7727272727272727,0.22727272727272727
38,25.0,0.0,0.125,0.875
39,13.28125,0.0,0.9411764705882353,0.058823529411764705
40,16.40625,18.75,0.7916666666666666,0.20833333333333334
41,25.78125,0.0,0.5454545454545454,0.45454545454545453
42,19.53125,0.0,0.72,0.28
43,21.09375,0.0,0.5357142857142857,0.4642857142857143
44,17.1875,0.0,0.5,0.5
45,14.84375,0.0,0.47368421052631576,0.5263157894736842
46,24.21875,0.0,0.5161290322580645,0.4838709677419355
47,21.875,0.0,0.9285714285714286,0.07142857142857142
48,14.84375,0.0,0.7368421052631579,0.2631578947368421
49,17.1875,0.0,0.5909090909090909,0.4090909090909091
50,14.84375,0.0,0.47368421052631576,0.5263157894736842
51,21.875,0.0,0.5172413793103449,0.4827586206896552
52,17.1875,0.0,0.9545454545454546,0.045454545454545456
53,10.15625,0.0,0.15384615384615385,0.8461538461538461
54,20.3125,0.0,0.6153846153846154,0.38461538461538464
55,18.75,0.0,1.0,0.0
56,21.09375,0.0,0.32142857142857145,0.6785714285714286
57,20.3125,0.0,0.46153846153846156,0.5384615384615384
58,22.65625,0.0,0.7666666666666667,0.23333333333333334
59,14.84375,18.75,0.9090909090909091,0.09090909090909091
60,19.53125,0.0,0.56,0.44
